variable,scale,scenario,temperature,data,model
'NEP','GLB','SSP126',0.614689393,-2627.753664,'CanESM5'
'NEP','GLB','SSP126',0.590837105,1928.728945,'CanESM5'
'NEP','GLB','SSP126',0.671939875,2285.386986,'CanESM5'
'NEP','GLB','SSP126',0.658323285,1189.22441,'CanESM5'
'NEP','GLB','SSP126',0.767222747,1239.566305,'CanESM5'
'NEP','GLB','SSP126',0.565638841,3513.729564,'CanESM5'
'NEP','GLB','SSP126',0.840936082,1573.997388,'CanESM5'
'NEP','GLB','SSP126',0.788397726,-1013.903462,'CanESM5'
'NEP','GLB','SSP126',0.907172129,986.4338716,'CanESM5'
'NEP','GLB','SSP126',1.008784225,1540.134432,'CanESM5'
'NEP','GLB','SSP126',0.940895131,2509.067337,'CanESM5'
'NEP','GLB','SSP126',0.95289786,-1422.58079,'CanESM5'
'NEP','GLB','SSP126',1.176613226,5332.531953,'CanESM5'
'NEP','GLB','SSP126',1.047325739,5747.554391,'CanESM5'
'NEP','GLB','SSP126',1.279473985,4462.566597,'CanESM5'
'NEP','GLB','SSP126',1.424632481,374.7394734,'CanESM5'
'NEP','GLB','SSP126',1.337726857,1186.753555,'CanESM5'
'NEP','GLB','SSP126',1.330668796,2676.577328,'CanESM5'
'NEP','GLB','SSP126',1.421568087,2289.737868,'CanESM5'
'NEP','GLB','SSP126',1.466356038,2752.38906,'CanESM5'
'NEP','GLB','SSP126',1.379931342,3606.352246,'CanESM5'
'NEP','GLB','SSP126',1.312957034,1377.866168,'CanESM5'
'NEP','GLB','SSP126',1.437829922,-2043.233536,'CanESM5'
'NEP','GLB','SSP126',1.551434936,-576.3632125,'CanESM5'
'NEP','GLB','SSP126',1.288918817,4344.401499,'CanESM5'
'NEP','GLB','SSP126',1.552394274,3453.63469,'CanESM5'
'NEP','GLB','SSP126',1.519548944,1436.172093,'CanESM5'
'NEP','GLB','SSP126',1.409932249,4690.416208,'CanESM5'
'NEP','GLB','SSP126',1.663285338,5187.723249,'CanESM5'
'NEP','GLB','SSP126',1.814349385,-194.2982224,'CanESM5'
'NEP','GLB','SSP126',1.713279431,317.2302858,'CanESM5'
'NEP','GLB','SSP126',1.647181244,375.1377782,'CanESM5'
